filename,"date, formatted","time, formatted",sample_ID,Date,Time,Location,Zone,Station,Replicate,Duplicate,Cast,GPS_ID,"Lat,Lon",Use,Weather,Notes,,,,
AAQ176-CAD_0203_20220515_141048_0001.csv,5/15/2022,2:10 PM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220515_142139_0001.csv,5/15/2022,2:21 PM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_063046_0001.csv,5/16/2022,6:30 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_063752_0001.csv,5/16/2022,6:37 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_064545_0001.csv,5/16/2022,6:45 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_065002_0001.csv,5/16/2022,6:50 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_072429_0001.csv,5/16/2022,7:24 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_073136_0001.csv,5/16/2022,7:31 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_073742_0001.csv,5/16/2022,7:37 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_074342_0001.csv,5/16/2022,7:43 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_074919_0001.csv,5/16/2022,7:49 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_083235_0001.csv,5/16/2022,8:32 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_083926_0001.csv,5/16/2022,8:39 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_084557_0001.csv,5/16/2022,8:45 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_085156_0001.csv,5/16/2022,8:51 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220516_085705_0001.csv,5/16/2022,8:57 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220517_061006_0001.csv,5/17/2022,6:10 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220517_061517_0001.csv,5/17/2022,6:15 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220517_062252_0001.csv,5/17/2022,6:22 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220517_062729_0001.csv,5/17/2022,6:27 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220517_063314_0001.csv,5/17/2022,6:33 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220517_071748_0001.csv,5/17/2022,7:17 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220517_071942_0001.csv,5/17/2022,7:19 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220517_072502_0001.csv,5/17/2022,7:25 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220517_073039_0001.csv,5/17/2022,7:30 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220517_073715_0001.csv,5/17/2022,7:37 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220517_074249_0001.csv,5/17/2022,7:42 AM,nearshore,,,,,,,,,,,,,,,,,
AAQ176-CAD_0203_20220517_081739_0001.csv,5/17/2022,8:17 AM,nearshore,,,,,,,,,,,,,,,,,
